Order Id,Order Date,Month,Customer,Invoice Id,Product Id,Product Name,Qty,Rate,Net Amount,Tax Type,TAX,Tax Amount,Amount
11151,42616,Sep,Customer 2,11139,ITEM-GRAMDAL1KG,GRAM DAL/CHANA DAL Q(1) 1KG,14,106,1484,  ,0,0,1484
11151,42616,Sep,Customer 2,11139,11125,GHEE NANDINI 1LTR,4,375,1500,  ,0,0,1500
11151,42616,Sep,Customer 2,11139,ITEM-TOORDAL21KG,TOOR DAL(2) 1KG,4,120,480,  ,0,0,480
11151,42616,Sep,Customer 2,11139,10862,WHITE PEPPER POWDER 1KG,0.3,196,58.8,  ,0,0,58.8
11151,42616,Sep,Customer 2,11139,ITEM-STEAM_RICE_1KG,STEAM RICE 1KG,50,36,1800,  ,0,0,1800
11151,42616,Sep,Customer 2,11139,11341,Catch Red Chilli Powder 1 Kg,3,196.86,590.58,  ,0,0,590.58
11151,42616,Sep,Customer 2,11139,11132,GRAM FLOUR 1KG,2,76,152,  ,0,0,152
11151,42616,Sep,Customer 2,11139,11273,APPLAM PAPPAD 1 KG,1,250,250,  ,0,0,250
11151,42616,Sep,Customer 2,11139,10871,TASTING SALT 1KG,1,134,134,  ,0,0,134
11151,42616,Sep,Customer 2,11139,ITEM-CORN_FLOUR_1KG_PKT,CORN FLOUR 1KG PKT,4,40.26,161.04,  ,0,0,161.04
11151,42616,Sep,Customer 2,11139,ITEM-MDH_CHAT_MASALA_1KG,MDH - CHUNKY CHAT MASALA 500GM,1,256.5,256.5,  ,0,0,256.5
11151,42616,Sep,Customer 2,11139,11082,SALT - TATA 1KG,20,16,320,  ,0,0,320
11151,42616,Sep,Customer 2,11139,11133,JEERA POWDER 1KG,2,200.45,400.9,  ,0,0,400.9
11151,42616,Sep,Customer 2,11139,ITEM-MDH_GARAM_MASALA,MDH - GARAM MASALA 500GM,2,310.5,621,  ,0,0,621
11151,42616,Sep,Customer 2,11139,ITEM-MTR_SAMBAR_POWDER_200GM,MTR SAMBAR POWDER 200GM,2,70,140,  ,0,0,140
11151,42616,Sep,Customer 2,11139,ITEM-MOONGDAL1KG,MOONG DAL 1KG,1,80,80,  ,0,0,80
11151,42616,Sep,Customer 2,11139,10240,RAVA 1 KG,2,32,64,  ,0,0,64
11151,42616,Sep,Customer 2,11139,10221,AVALAKKI/POHA THICK 1 Kg,3,37,111,  ,0,0,111
